Week,python pandas: (Worldwide),sas enterprise guide: (Worldwide),microsoft excel: (Worldwide)
2013-12-22,2,1,53
2013-12-29,2,1,62
2014-01-05,2,1,91
2014-01-12,2,1,97
2014-01-19,2,1,100
2014-01-26,2,1,96
2014-02-02,3,1,96
2014-02-09,4,1,95
2014-02-16,4,1,99
2014-02-23,3,1,98
2014-03-02,3,2,96
2014-03-09,3,2,96
2014-03-16,3,1,91
2014-03-23,4,1,92
2014-03-30,3,1,90
2014-04-06,4,1,88
2014-04-13,3,1,79
2014-04-20,4,1,82
2014-04-27,3,1,83
2014-05-04,3,2,81
2014-05-11,3,2,81
2014-05-18,3,1,84
2014-05-25,3,1,82
2014-06-01,3,1,97
2014-06-08,3,1,90
2014-06-15,3,1,80
2014-06-22,4,1,78
2014-06-29,2,1,71
2014-07-06,3,1,71
2014-07-13,4,1,74
2014-07-20,4,1,75
2014-07-27,3,1,68
2014-08-03,4,1,75
2014-08-10,4,2,78
2014-08-17,4,1,82
2014-08-24,3,1,84
2014-08-31,3,1,89
2014-09-07,3,1,88
2014-09-14,3,1,90
2014-09-21,3,1,88
2014-09-28,4,1,83
2014-10-05,4,1,80
2014-10-12,3,1,85
2014-10-19,4,1,86
2014-10-26,4,1,83
2014-11-02,4,1,89
2014-11-09,4,1,90
2014-11-16,4,1,86
2014-11-23,3,1,80
2014-11-30,4,1,86
2014-12-07,4,1,83
2014-12-14,4,1,75
2014-12-21,3,1,53
2014-12-28,3,1,55
2015-01-04,4,1,86
2015-01-11,5,1,92
2015-01-18,4,1,95
2015-01-25,5,1,93
2015-02-01,4,1,92
2015-02-08,5,1,91
2015-02-15,5,1,83
2015-02-22,5,2,93
2015-03-01,5,2,96
2015-03-08,5,1,95
2015-03-15,5,1,90
2015-03-22,5,1,87
2015-03-29,5,1,81
2015-04-05,5,1,82
2015-04-12,5,1,83
2015-04-19,5,2,85
2015-04-26,5,1,78
2015-05-03,5,1,79
2015-05-10,5,1,83
2015-05-17,6,1,81
2015-05-24,5,1,83
2015-05-31,6,1,87
2015-06-07,5,1,85
2015-06-14,5,1,73
2015-06-21,5,1,71
2015-06-28,6,1,68
2015-07-05,6,1,70
2015-07-12,6,2,64
2015-07-19,5,1,66
2015-07-26,6,1,70
2015-08-02,6,1,77
2015-08-09,5,1,72
2015-08-16,6,2,77
2015-08-23,7,2,77
2015-08-30,6,1,81
2015-09-06,5,1,81
2015-09-13,6,1,80
2015-09-20,6,1,76
2015-09-27,6,1,81
2015-10-04,6,1,84
2015-10-11,7,1,80
2015-10-18,6,1,78
2015-10-25,7,1,78
2015-11-01,7,1,81
2015-11-08,6,1,77
2015-11-15,7,1,79
2015-11-22,6,1,73
2015-11-29,7,1,77
2015-12-06,7,1,73
2015-12-13,7,1,69
2015-12-20,5,1,51
2015-12-27,5,1,49
2016-01-03,7,1,70
2016-01-10,8,1,78
2016-01-17,8,1,80
2016-01-24,9,1,78
2016-01-31,10,1,76
2016-02-07,9,1,72
2016-02-14,9,1,75
2016-02-21,9,1,78
2016-02-28,9,1,76
2016-03-06,10,1,76
2016-03-13,9,1,75
2016-03-20,10,1,67
2016-03-27,9,1,69
2016-04-03,9,1,71
2016-04-10,10,1,71
2016-04-17,11,1,67
2016-04-24,10,1,66
2016-05-01,11,1,62
2016-05-08,9,1,68
2016-05-15,10,1,71
2016-05-22,11,1,71
2016-05-29,10,1,66
2016-06-05,11,1,60
2016-06-12,12,1,60
2016-06-19,12,1,58
2016-06-26,11,1,54
2016-07-03,10,1,49
2016-07-10,10,1,55
2016-07-17,11,1,57
2016-07-24,10,1,60
2016-07-31,11,1,61
2016-08-07,10,1,61
2016-08-14,9,1,57
2016-08-21,10,1,62
2016-08-28,11,1,65
2016-09-04,10,1,62
2016-09-11,11,1,63
2016-09-18,11,1,67
2016-09-25,11,1,68
2016-10-02,12,1,66
2016-10-09,11,1,65
2016-10-16,13,1,67
2016-10-23,13,1,64
2016-10-30,13,1,66
2016-11-06,14,1,63
2016-11-13,15,1,68
2016-11-20,13,1,58
2016-11-27,14,1,64
2016-12-04,15,1,64
2016-12-11,15,1,58
2016-12-18,14,1,49
2016-12-25,9,<1,41
2017-01-01,11,1,57
2017-01-08,14,1,72
2017-01-15,15,1,75
2017-01-22,17,1,70
2017-01-29,16,1,71
2017-02-05,18,1,73
2017-02-12,19,1,68
2017-02-19,18,1,73
2017-02-26,19,1,71
2017-03-05,19,1,71
2017-03-12,17,1,69
2017-03-19,18,1,71
2017-03-26,19,1,67
2017-04-02,20,1,69
2017-04-09,21,1,58
2017-04-16,20,1,61
2017-04-23,20,1,61
2017-04-30,19,1,61
2017-05-07,20,1,61
2017-05-14,19,1,64
2017-05-21,17,1,59
2017-05-28,18,1,60
2017-06-04,19,1,65
2017-06-11,20,1,54
2017-06-18,22,1,49
2017-06-25,21,1,48
2017-07-02,19,1,50
2017-07-09,21,1,54
2017-07-16,22,1,56
2017-07-23,21,1,59
2017-07-30,22,1,61
2017-08-06,23,1,58
2017-08-13,20,1,58
2017-08-20,19,1,58
2017-08-27,20,1,59
2017-09-03,20,1,62
2017-09-10,23,1,62
2017-09-17,24,1,64
2017-09-24,23,1,63
2017-10-01,23,1,63
2017-10-08,24,1,66
2017-10-15,24,1,64
2017-10-22,25,1,62
2017-10-29,26,1,62
2017-11-05,26,2,64
2017-11-12,25,1,64
2017-11-19,22,1,59
2017-11-26,27,1,63
2017-12-03,25,1,65
2017-12-10,25,1,59
2017-12-17,22,1,50
2017-12-24,15,1,39
2017-12-31,18,1,54
2018-01-07,23,1,65
2018-01-14,26,1,69
2018-01-21,27,1,64
2018-01-28,27,1,66
2018-02-04,27,1,65
2018-02-11,27,1,63
2018-02-18,27,1,63
2018-02-25,27,1,67
2018-03-04,28,1,68
2018-03-11,29,1,64
2018-03-18,29,1,65
2018-03-25,28,1,56
2018-04-01,27,1,57
2018-04-08,30,1,60
2018-04-15,31,1,58
2018-04-22,30,1,52
2018-04-29,26,1,51
2018-05-06,29,1,55
2018-05-13,31,1,54
2018-05-20,29,1,66
2018-05-27,28,1,54
2018-06-03,30,1,56
2018-06-10,30,1,49
2018-06-17,31,1,48
2018-06-24,31,1,48
2018-07-01,29,1,49
2018-07-08,30,1,50
2018-07-15,32,1,51
2018-07-22,32,1,52
2018-07-29,33,1,56
2018-08-05,32,1,54
2018-08-12,28,1,51
2018-08-19,28,1,50
2018-08-26,31,1,58
2018-09-02,30,1,55
2018-09-09,31,1,57
2018-09-16,31,1,58
2018-09-23,34,1,57
2018-09-30,32,1,59
2018-10-07,33,1,57
2018-10-14,34,1,57
2018-10-21,34,1,56
2018-10-28,33,1,54
2018-11-04,34,1,56
2018-11-11,35,1,56
2018-11-18,31,1,50
2018-11-25,35,1,56
2018-12-02,35,1,61
2018-12-09,36,1,55
